epoch,loss_discriminator,loss_generator,params_generator,rel_entropy
0,0.7312,1.0795,"[ 2.61022808  4.51593287 -0.00928092  1.90961104  0.93209381  0.59017972
  1.18030686  2.16122489  2.50296044]",19.8916
1,0.7021,0.8171,"[ 2.60023163  4.50593431 -0.01927979  1.91960977  0.94209232  0.60017784
  1.19030555  2.15123224  2.51295331]",19.8523
2,0.6925,0.7079,"[ 2.59221378  4.49792596 -0.02728724  1.92761688  0.95010043  0.60818831
  1.19831282  2.14319027  2.5209878 ]",19.8226
3,0.6932,0.6996,"[ 2.58422762  4.4899317  -0.03528244  1.93561194  0.95809471  0.61618088
  1.20630775  2.13522604  2.52895776]",19.7949
4,0.6916,0.7293,"[ 2.58033667  4.48598135 -0.03923869  1.93956949  0.96204681  0.62011729
  1.21026454  2.13149247  2.53274312]",19.7826
5,0.693,0.6866,"[ 2.57435898  4.47999133 -0.04522992  1.94556094  0.96803725  0.6261043
  1.21625587  2.12554964  2.53869855]",19.7639
6,0.693,0.6823,"[ 2.57433262  4.4799787  -0.04524159  1.94557162  0.9680489   0.62612069
  1.2162666   2.12547926  2.53874906]",19.7637
7,0.6929,0.7171,"[ 2.57426608  4.47994746 -0.04526979  1.94559821  0.96807842  0.62616084
  1.2162935   2.12531257  2.53887707]",19.7631
8,0.6931,0.6875,"[ 2.574221    4.47992529 -0.04529007  1.94561712  0.96809917  0.62618922
  1.21631256  2.12520815  2.53895802]",19.7627
9,0.6929,0.6712,"[ 2.57817646  4.48390467 -0.04130876  1.9416346   0.96411853  0.6222159
  1.21233021  2.12908844  2.53504668]",19.7747
10,0.6929,0.6818,"[ 2.57415146  4.47989237 -0.04531982  1.94564514  0.96813038  0.62623127
  1.21634094  2.12503746  2.53909067]",19.7621
11,0.6929,0.6791,"[ 2.57402738  4.47982715 -0.04537968  1.94570139  0.96819163  0.62631347
  1.21639755  2.12479639  2.53929104]",19.7613
12,0.6937,0.6835,"[ 2.57797044  4.4838004  -0.04140397  1.94172412  0.9642167   0.62234808
  1.21242047  2.12864841  2.53540158]",19.7732
13,0.6931,0.7084,"[ 2.57608973  4.48185733 -0.04335295  1.94367534  0.96616262  0.62427508
  1.21437115  2.12692491  2.53718129]",19.7679
14,0.6931,0.6985,"[ 2.57409441  4.47985934 -0.04535129  1.94567358  0.96816065  0.62627239
  1.21636936  2.12493529  2.53917232]",19.7618
15,0.6926,0.7074,"[ 2.57782047  4.48372428 -0.04147326  1.94178957  0.96428883  0.62244404
  1.21248659  2.1283294   2.53565944]",19.7721
16,0.6931,0.6852,"[ 2.57570878  4.48166671 -0.04352593  1.94383912  0.96634293  0.62451699
  1.21453646  2.1261043   2.53784435]",19.765
17,0.6932,0.6898,"[ 2.57759743  4.48361285 -0.04157472  1.94188517  0.96439369  0.6225861
  1.2125829   2.12784246  2.53604878]",19.7703
18,0.6929,0.697,"[ 2.57943123  4.48553371 -0.03964589  1.93995285  0.96246878  0.62068763
  1.2106513   2.12944816  2.53435972]",19.7753
19,0.6928,0.7074,"[ 2.57897193  4.48529065 -0.03986613  1.94016425  0.96270131  0.62099033
  1.2108648   2.12857433  2.53510297]",19.7722
20,0.6928,0.719,"[ 2.57500752  4.48130769 -0.04385096  1.94414957  0.96668507  0.62496841
  1.21484999  2.1246537   2.53903819]",19.7599
21,0.6928,0.7165,"[ 2.57284323  4.47922549 -0.04592574  1.9462202   0.96876242  0.62707345
  1.21692103  2.12229569  2.54132506]",19.7525
22,0.6931,0.6848,"[ 2.57283121  4.47921978 -0.04593107  1.946225    0.96876767  0.62708087
  1.21692584  2.12226078  2.54134925]",19.7524
23,0.6931,0.6945,"[ 2.56887591  4.47524064 -0.04991224  1.95020721  0.97274823  0.63105342
  1.220908    2.11837883  2.54526239]",19.741
24,0.6932,0.6942,"[ 2.56869983  4.47514686 -0.04999857  1.95028832  0.97283603  0.63117198
  1.22098933  2.11803956  2.54554421]",19.7398
25,0.6936,0.7062,"[ 2.56672657  4.47315929 -0.05198741  1.9522777   0.97482442  0.6331556
  1.22297868  2.11610934  2.54749243]",19.7344
26,0.6929,0.703,"[ 2.57046603  4.47702207 -0.04811422  1.94839606  0.97095188  0.62933061
  1.21909704  2.11956799  2.54392342]",19.744
27,0.6932,0.7034,"[ 2.57037201  4.47697274 -0.04815958  1.94843862  0.97099803  0.62939323
  1.21913971  2.11937753  2.54407781]",19.7433
28,0.6931,0.7008,"[ 2.56641261  4.47299167 -0.05214249  1.95242248  0.97498042  0.63336826
  1.22312354  2.11548575  2.54799865]",19.7322
29,0.693,0.6986,"[ 2.57041056  4.47699072 -0.04814358  1.94842318  0.97098109  0.62936961
  1.21912421  2.11947227  2.54400455]",19.7437
30,0.6929,0.7139,"[ 2.57040656  4.47698873 -0.04814549  1.94842484  0.97098293  0.6293721
  1.21912588  2.11946062  2.54401265]",19.7436
31,0.6928,0.6843,"[ 2.57232055  4.47894745 -0.0461832   1.94646002  0.96902131  0.62742589
  1.21716114  2.12124171  2.54217533]",19.7488
32,0.6931,0.6901,"[ 2.57438247  4.48097974 -0.04415393  1.94443201  0.96699076  0.62538494
  1.21513301  2.123353    2.54007721]",19.7553
33,0.6931,0.6788,"[ 2.57636428  4.48297122 -0.04216174  1.94243922  0.9649987   0.62339599
  1.21314026  2.12530234  2.53811382]",19.7613
34,0.6931,0.6894,"[ 2.57278721  4.47921244 -0.0459408   1.94622698  0.96876823  0.62710012
  1.21692675  2.12201924  2.54148544]",19.7515
35,0.6931,0.6924,"[ 2.57457218  4.4811079  -0.04403567  1.9443165   0.96686639  0.62523502
  1.21501671  2.12351221  2.53987938]",19.7558
36,0.6932,0.6885,"[ 2.57456708  4.48110541 -0.04403807  1.94431856  0.96686865  0.6252382
  1.21501879  2.12349632  2.53988993]",19.7558
37,0.6928,0.703,"[ 2.57654685  4.48309595 -0.04204671  1.94232657  0.96487748  0.62325046
  1.21302684  2.12544044  2.53793066]",19.7618
38,0.6934,0.6982,"[ 2.57192688  4.47864896 -0.04646825  1.94673623  0.96931099  0.62775933
  1.21743822  2.12069043  2.54265759]",19.7469
39,0.6931,0.7047,"[ 2.57591033  4.48264129 -0.0424754   1.94274267  0.96531798  0.62376947
  1.21344465  2.12463878  2.53869227]",19.759
40,0.693,0.7059,"[ 2.57393002  4.48065183 -0.04446591  1.94473345  0.96730796  0.62575613
  1.2154354   2.12266895  2.54066368]",19.7529
41,0.6929,0.674,"[ 2.57293837  4.47961228 -0.04551292  1.9457844   0.96835194  0.6267781
  1.21648598  2.12174864  2.54160908]",19.7502
42,0.6932,0.6922,"[ 2.57488812  4.48158819 -0.04353485  1.94380494  0.96637448  0.62480929
  1.21450662  2.12362264  2.53970433]",19.7559
43,0.6929,0.7031,"[ 2.57501674  4.48165075 -0.04347861  1.94375113  0.96631518  0.62472887
  1.21445245  2.12391034  2.53947223]",19.7569
44,0.693,0.6883,"[ 2.5730027   4.47964406 -0.04548482  1.94575679  0.96832137  0.62673756
  1.21645812  2.12187123  2.54150007]",19.7506
45,0.6931,0.6919,"[ 2.57680937  4.48355097 -0.04156889  1.94183654  0.9644092   0.62285763
  1.21253836  2.12541062  2.53785944]",19.7614
46,0.692,0.7201,"[ 2.57679317  4.48354333 -0.04157587  1.94184302  0.96441639  0.62286746
  1.21254489  2.1253675   2.53789165]",19.7612
