epoch,loss_discriminator,loss_generator,params_generator,rel_entropy
0,0.6975,0.6688,"[2.62321806e+00 4.52293824e+00 3.71730615e-03 1.90260566e+00
 9.25091428e-01 5.83167070e-01 1.17330407e+00 2.16848373e+00
 2.49596050e+00 3.38823731e+00 2.63094051e+00]",11.7259
1,0.6856,0.747,"[2.62032003e+00 4.52586276e+00 7.35078796e-04 1.89967932e+00
 9.22131207e-01 5.80319315e-01 1.17034811e+00 2.17046140e+00
 2.49300062e+00 3.38856443e+00 2.63334540e+00]",11.665
2,0.6809,0.8279,"[ 2.61732306e+00  4.52886056e+00 -2.26443023e-03  1.89668147e+00
  9.19132332e-01  5.77324055e-01  1.16734936e+00  2.17337183e+00
  2.49000176e+00  3.39113348e+00  2.63631355e+00]",11.5988
3,0.6787,0.8968,"[ 2.61432477  4.53185933 -0.00526415  1.89368269  0.91613297  0.57432673
  1.16435006  2.17633162  2.48700239  3.3938689   2.6392976 ]",11.5332
4,0.6782,0.8745,"[ 2.61132662  4.53485803 -0.00826386  1.890684    0.91313363  0.57132963
  1.1613508   2.17929703  2.48400307  3.39099904  2.64228482]",11.48
5,0.6809,0.8788,"[ 2.60832835  4.53785684 -0.0112636   1.88768523  0.91013425  0.56833238
  1.15835148  2.18226961  2.48100368  3.38805305  2.64527498]",11.4279
6,0.6822,0.8464,"[ 2.60533022  4.54085557 -0.01426331  1.88468655  0.9071349   0.5653354
  1.1553522   2.18524442  2.47800434  3.38508668  2.64826628]",11.3766
7,0.6789,0.8893,"[ 2.60233208  4.54385434 -0.01726304  1.88168787  0.90413553  0.56233841
  1.15235289  2.18822256  2.47500498  3.38211088  2.65125887]",11.3262
8,0.682,0.8643,"[ 2.59933411  4.54685302 -0.02026274  1.8786893   0.9011362   0.55934175
  1.14935363  2.19120187  2.47200566  3.37913066  2.65425198]",11.2767
9,0.6821,0.8471,"[ 2.59633627  4.54985165 -0.02326243  1.87569082  0.8981369   0.55634534
  1.1463544   2.19418247  2.46900637  3.3761475   2.65724558]",11.2281
10,0.6838,0.8497,"[ 2.59333835  4.55285037 -0.02626214  1.87269227  0.89513755  0.55334883
  1.14335511  2.19716584  2.46600704  3.37316131  2.66024009]",11.1804
11,0.6824,0.8524,"[ 2.59034066  4.55584897 -0.02926183  1.86969389  0.89213826  0.55035278
  1.14035589  2.20014931  2.46300776  3.37017417  2.66323466]",11.1337
12,0.6826,0.8599,"[ 2.58734301  4.55884758 -0.03226152  1.86669553  0.88913897  0.54735684
  1.13735665  2.20313426  2.46000848  3.36718549  2.66622971]",11.0879
13,0.6841,0.8472,"[ 2.5843455   4.56184615 -0.03526119  1.86369726  0.88613969  0.54436123
  1.13435745  2.20611986  2.45700922  3.36419598  2.66922496]",11.043
14,0.6823,0.8615,"[ 2.58134798  4.56484475 -0.03826088  1.86069898  0.8831404   0.54136567
  1.13135821  2.20910684  2.45400994  3.36120531  2.67222065]",10.9992
15,0.6853,0.8347,"[ 2.57835074  4.56784324 -0.04126054  1.85770089  0.88014116  0.53837072
  1.12835904  2.21209378  2.45101072  3.35821442  2.67521631]",10.9563
16,0.6843,0.8338,"[ 2.57535366  4.57084169 -0.04426019  1.85470291  0.87714195  0.53537618
  1.12535988  2.21508119  2.44801152  3.35522307  2.67821211]",10.9145
17,0.6861,0.811,"[ 2.57235659  4.57384017 -0.04725985  1.85170492  0.87414271  0.53238179
  1.1223607   2.21806968  2.44501231  3.35223093  2.68120824]",10.8736
18,0.686,0.8104,"[ 2.56936018  4.57683838 -0.05025944  1.84870737  0.87114361  0.52938886
  1.11936167  2.2210569   2.44201323  3.34923946  2.68420392]",10.8338
19,0.6862,0.8243,"[ 2.56636344  4.57983678 -0.05325909  1.8457096   0.86814441  0.52639546
  1.11636253  2.22404616  2.43901405  3.34624667  2.68720026]",10.7951
20,0.6849,0.8364,"[ 2.56336685  4.58283517 -0.05625872  1.84271192  0.86514522  0.52340256
  1.1133634   2.22703586  2.43601489  3.34325354  2.69019673]",10.7574
21,0.6849,0.8276,"[ 2.56037047  4.58583351 -0.05925835  1.83971438  0.86214605  0.5204104
  1.11036429  2.23002582  2.43301574  3.34026021  2.69319326]",10.7207
22,0.6877,0.8111,"[ 2.55737407  4.58883191 -0.06225799  1.8367168   0.85914685  0.51741847
  1.10736515  2.23301667  2.43001657  3.3372663   2.69619006]",10.6852
23,0.6855,0.8171,"[ 2.55437841  4.59183005 -0.06525758  1.83371971  0.85614778  0.51442872
  1.10436613  2.2360066   2.42701752  3.33427294  2.69918653]",10.6507
24,0.6865,0.8027,"[ 2.55138279  4.59482824 -0.06825717  1.83072264  0.85314868  0.51143962
  1.10136709  2.23899724  2.42401845  3.33127913  2.70218321]",10.6174
