v,v_eff,m,t
"[[7.64025728e-05]
 [1.27288026e-04]
 [2.59153848e-03]
 [1.44591578e-04]
 [4.70384765e-04]
 [3.27401856e-05]
 [3.74193107e-04]
 [4.47672419e-08]
 [4.74117967e-04]
 [5.29951758e-07]
 [6.62194412e-09]]","[[7.64025728e-05]
 [1.27288026e-04]
 [2.59153848e-03]
 [1.44591578e-04]
 [4.70384765e-04]
 [3.27401856e-05]
 [3.74193107e-04]
 [4.47672419e-08]
 [4.74117967e-04]
 [5.29951758e-07]
 [6.62194412e-09]]","[[ 0.02622257]
 [-0.0338466 ]
 [ 0.15272147]
 [ 0.03607387]
 [ 0.06506507]
 [ 0.01716571]
 [ 0.05803221]
 [-0.00063475]
 [ 0.06532275]
 [-0.00218393]
 [-0.00024413]]",1
"[[6.22502666e-05]
 [1.05469056e-04]
 [2.13895976e-03]
 [1.18091352e-04]
 [3.90137205e-04]
 [2.65662718e-05]
 [3.11003328e-04]
 [4.73437613e-08]
 [3.92462229e-04]
 [3.58425925e-07]
 [2.81890621e-08]]","[[6.22502666e-05]
 [1.05469056e-04]
 [2.13895976e-03]
 [1.18091352e-04]
 [3.90137205e-04]
 [2.65662718e-05]
 [3.11003328e-04]
 [4.73437613e-08]
 [3.92462229e-04]
 [3.58425925e-07]
 [2.81890621e-08]]","[[ 0.02366965]
 [-0.03080944]
 [ 0.13874667]
 [ 0.03260095]
 [ 0.05925567]
 [ 0.01546274]
 [ 0.05290586]
 [-0.00065276]
 [ 0.05943198]
 [-0.00179606]
 [-0.00050369]]",1
"[[4.99407106e-05]
 [8.61314479e-05]
 [1.74039916e-03]
 [9.50001070e-05]
 [3.18986530e-04]
 [2.12162786e-05]
 [2.54838221e-04]
 [4.82263076e-08]
 [3.20219166e-04]
 [2.30077188e-07]
 [5.75854408e-08]]","[[4.99407106e-05]
 [8.61314479e-05]
 [1.74039916e-03]
 [9.50001070e-05]
 [3.18986530e-04]
 [2.12162786e-05]
 [2.54838221e-04]
 [4.82263076e-08]
 [3.20219166e-04]
 [2.30077188e-07]
 [5.75854408e-08]]","[[ 0.02120062]
 [-0.02784211]
 [ 0.12515427]
 [ 0.0292404 ]
 [ 0.05358058]
 [ 0.01381834]
 [ 0.04789096]
 [-0.00065881]
 [ 0.05368401]
 [-0.00143899]
 [-0.00071991]]",1
"[[3.93227518e-05]
 [6.91137192e-05]
 [1.39188156e-03]
 [7.50391926e-05]
 [2.56336443e-04]
 [1.66203115e-05]
 [2.05255967e-04]
 [4.73557535e-08]
 [2.56754640e-04]
 [1.37557009e-07]
 [8.86559367e-08]]","[[3.93227518e-05]
 [6.91137192e-05]
 [1.39188156e-03]
 [7.50391926e-05]
 [2.56336443e-04]
 [1.66203115e-05]
 [2.05255967e-04]
 [4.73557535e-08]
 [2.56754640e-04]
 [1.37557009e-07]
 [8.86559367e-08]]","[[ 0.01881236]
 [-0.0249404 ]
 [ 0.11192379]
 [ 0.02598755]
 [ 0.04803153]
 [ 0.0122304 ]
 [ 0.04298027]
 [-0.00065284]
 [ 0.0480707 ]
 [-0.00111266]
 [-0.00089325]]",1
"[[3.02989190e-05]
 [5.43411753e-05]
 [1.09119501e-03]
 [5.80312059e-05]
 [2.01906122e-04]
 [1.27323347e-05]
 [1.62063543e-04]
 [4.48483486e-08]
 [2.01752940e-04]
 [7.44236346e-08]
 [1.16493761e-07]]","[[3.02989190e-05]
 [5.43411753e-05]
 [1.09119501e-03]
 [5.80312059e-05]
 [2.01906122e-04]
 [1.27323347e-05]
 [1.62063543e-04]
 [4.48483486e-08]
 [2.01752940e-04]
 [7.44236346e-08]
 [1.16493761e-07]]","[[ 0.01651334]
 [-0.02211494]
 [ 0.09909972]
 [ 0.02285346]
 [ 0.0426281 ]
 [ 0.01070472]
 [ 0.03819125]
 [-0.00063532]
 [ 0.04261193]
 [-0.00081842]
 [-0.00102394]]",1
"[[2.28232267e-05]
 [4.18287872e-05]
 [8.37956900e-04]
 [4.38973958e-05]
 [1.55748306e-04]
 [9.52805017e-06]
 [1.25334624e-04]
 [4.10232909e-08]
 [1.55232449e-04]
 [3.47638219e-08]
 [1.37591320e-07]]","[[2.28232267e-05]
 [4.18287872e-05]
 [8.37956900e-04]
 [4.38973958e-05]
 [1.55748306e-04]
 [9.52805017e-06]
 [1.25334624e-04]
 [4.10232909e-08]
 [1.55232449e-04]
 [3.47638219e-08]
 [1.37591320e-07]]","[[ 0.0143321 ]
 [-0.01940255]
 [ 0.08684246]
 [ 0.01987653]
 [ 0.03743975]
 [ 0.00926026]
 [ 0.03358588]
 [-0.00060763]
 [ 0.03737769]
 [-0.00055935]
 [-0.0011128 ]]",1
"[[1.67274128e-05]
 [3.13776224e-05]
 [6.27486202e-04]
 [3.23287616e-05]
 [1.17129638e-04]
 [6.93119261e-06]
 [9.45137706e-05]
 [3.61567887e-08]
 [1.16421471e-04]
 [1.25615110e-08]
 [1.49574041e-07]]","[[1.67274128e-05]
 [3.13776224e-05]
 [6.27486202e-04]
 [3.23287616e-05]
 [1.17129638e-04]
 [6.93119261e-06]
 [9.45137706e-05]
 [3.61567887e-08]
 [1.16421471e-04]
 [1.25615110e-08]
 [1.49574041e-07]]","[[ 0.01226975]
 [-0.01680472]
 [ 0.07514902]
 [ 0.01705752]
 [ 0.03246793]
 [ 0.00789815]
 [ 0.02916546]
 [-0.00057045]
 [ 0.03236963]
 [-0.00033623]
 [-0.00116024]]",1
"[[1.18397975e-05]
 [2.27733867e-05]
 [4.54918501e-04]
 [2.30100109e-05]
 [8.52637094e-05]
 [4.86426093e-06]
 [6.90001788e-05]
 [3.05419834e-08]
 [8.44978868e-05]
 [2.49367615e-09]
 [1.51091164e-07]]","[[1.18397975e-05]
 [2.27733867e-05]
 [4.54918501e-04]
 [2.30100109e-05]
 [8.52637094e-05]
 [4.86426093e-06]
 [6.90001788e-05]
 [3.05419834e-08]
 [8.44978868e-05]
 [2.49367615e-09]
 [1.51091164e-07]]","[[ 0.0103227 ]
 [-0.01431644]
 [ 0.06398646]
 [ 0.01439063]
 [ 0.02770151]
 [ 0.00661652]
 [ 0.0249199 ]
 [-0.00052429]
 [ 0.02757682]
 [-0.00014981]
 [-0.00116611]]",1
"[[8.00163707e-06]
 [1.58153451e-05]
 [3.15794124e-04]
 [1.56505450e-05]
 [5.94181980e-05]
 [3.25541551e-06]
 [4.82336662e-05]
 [2.44918232e-08]
 [5.86965383e-05]
 [1.53079455e-13]
 [1.41781585e-07]]","[[8.00163707e-06]
 [1.58153451e-05]
 [3.15794124e-04]
 [1.56505450e-05]
 [5.94181980e-05]
 [3.25541551e-06]
 [4.82336662e-05]
 [2.44918232e-08]
 [5.86965383e-05]
 [1.53079455e-13]
 [1.41781585e-07]]","[[ 8.48614952e-03]
 [-1.19305535e-02]
 [ 5.33117915e-02]
 [ 1.18682309e-02]
 [ 2.31249601e-02]
 [ 5.41283102e-03]
 [ 2.08351385e-02]
 [-4.69495909e-04]
 [ 2.29840998e-02]
 [-1.17376109e-06]
 [-1.12961687e-03]]",1
"[[5.19953920e-06]
 [1.05740431e-05]
 [2.11076057e-04]
 [1.02412963e-05]
 [3.98834430e-05]
 [2.09199935e-06]
 [3.24806908e-05]
 [1.86871468e-08]
 [3.92697121e-05]
 [1.23183158e-09]
 [1.24361269e-07]]","[[5.19953920e-06]
 [1.05740431e-05]
 [2.11076057e-04]
 [1.02412963e-05]
 [3.98834430e-05]
 [2.09199935e-06]
 [3.24806908e-05]
 [1.86871468e-08]
 [3.92697121e-05]
 [1.23183158e-09]
 [1.24361269e-07]]","[[ 0.00684075]
 [-0.00975533]
 [ 0.04358537]
 [ 0.00960061]
 [ 0.018946  ]
 [ 0.00433912]
 [ 0.01709755]
 [-0.0004101 ]
 [ 0.01879967]
 [ 0.00010529]
 [-0.00105795]]",1
