v,v_eff,m,t
"[[1.39628593e-07]
 [6.85868784e-07]
 [3.54829088e-06]
 [2.51867126e-06]
 [3.20616606e-06]
 [8.39711151e-07]
 [3.21682605e-06]
 [1.41723851e-07]
 [7.39052536e-07]
 [2.03063234e-07]
 [7.67962600e-08]]","[[1.39628593e-07]
 [6.85868784e-07]
 [3.54829088e-06]
 [2.51867126e-06]
 [3.20616606e-06]
 [8.39711151e-07]
 [3.21682605e-06]
 [1.41723851e-07]
 [7.39052536e-07]
 [2.03063234e-07]
 [7.67962600e-08]]","[[ 0.00112101]
 [ 0.00248452]
 [-0.00565107]
 [-0.0047611 ]
 [-0.00537173]
 [-0.00274907]
 [-0.00538065]
 [-0.00112939]
 [-0.00257904]
 [-0.00135188]
 [-0.00083136]]",1
"[[3.59490195e-07]
 [1.62614422e-06]
 [7.94698371e-06]
 [5.85846989e-06]
 [7.52884255e-06]
 [1.94701037e-06]
 [7.62413545e-06]
 [3.25444589e-07]
 [1.69262971e-06]
 [5.00486286e-07]
 [1.64333535e-07]]","[[3.59490195e-07]
 [1.62614422e-06]
 [7.94698371e-06]
 [5.85846989e-06]
 [7.52884255e-06]
 [1.94701037e-06]
 [7.62413545e-06]
 [3.25444589e-07]
 [1.69262971e-06]
 [5.00486286e-07]
 [1.64333535e-07]]","[[ 0.00179873]
 [ 0.00382561]
 [-0.00845712]
 [-0.00726128]
 [-0.00823162]
 [-0.00418606]
 [-0.00828355]
 [-0.00171143]
 [-0.00390303]
 [-0.00212235]
 [-0.00121614]]",1
"[[6.87048732e-07]
 [2.87434249e-06]
 [1.32514483e-05]
 [1.01566982e-05]
 [1.31787621e-05]
 [3.36396885e-06]
 [1.34688750e-05]
 [5.56726730e-07]
 [2.88913684e-06]
 [9.18469152e-07]
 [2.60898700e-07]]","[[6.87048732e-07]
 [2.87434249e-06]
 [1.32514483e-05]
 [1.01566982e-05]
 [1.31787621e-05]
 [3.36396885e-06]
 [1.34688750e-05]
 [5.56726730e-07]
 [2.88913684e-06]
 [9.18469152e-07]
 [2.60898700e-07]]","[[ 0.00248665]
 [ 0.00508617]
 [-0.01092076]
 [-0.00956087]
 [-0.01089077]
 [-0.00550234]
 [-0.01100999]
 [-0.00223842]
 [-0.00509924]
 [-0.0028751 ]
 [-0.00153235]]",1
"[[1.13025407e-06]
 [4.38939662e-06]
 [1.90572725e-05]
 [1.52060265e-05]
 [1.99253492e-05]
 [5.01752588e-06]
 [2.05519186e-05]
 [8.21813823e-07]
 [4.25839658e-06]
 [1.45478795e-06]
 [3.55703298e-07]]","[[1.13025407e-06]
 [4.38939662e-06]
 [1.90572725e-05]
 [1.52060265e-05]
 [1.99253492e-05]
 [5.01752588e-06]
 [2.05519186e-05]
 [8.21813823e-07]
 [4.25839658e-06]
 [1.45478795e-06]
 [3.55703298e-07]]","[[ 0.0031894 ]
 [ 0.00628527]
 [-0.01309639]
 [-0.01169847]
 [-0.01339135]
 [-0.00671995]
 [-0.01360027]
 [-0.00271962]
 [-0.00619076]
 [-0.00361844]
 [-0.00178923]]",1
"[[1.65071809e-06]
 [6.00367345e-06]
 [2.46105152e-05]
 [2.04115325e-05]
 [2.69902946e-05]
 [6.70935378e-06]
 [2.80712716e-05]
 [1.08729276e-06]
 [5.63132326e-06]
 [2.05422901e-06]
 [4.35631068e-07]]","[[1.65071809e-06]
 [6.00367345e-06]
 [2.46105152e-05]
 [2.04115325e-05]
 [2.69902946e-05]
 [6.70935378e-06]
 [2.80712716e-05]
 [1.08729276e-06]
 [5.63132326e-06]
 [2.05422901e-06]
 [4.35631068e-07]]","[[ 0.00385441]
 [ 0.00735072]
 [-0.0148827 ]
 [-0.01355374]
 [-0.01558566]
 [-0.00777073]
 [-0.0158947 ]
 [-0.0031282 ]
 [-0.00711912]
 [-0.00429977]
 [-0.00198007]]",1
"[[1.29677901e-06]
 [4.94746342e-06]
 [2.09621060e-05]
 [1.70484331e-05]
 [2.22902214e-05]
 [5.61378593e-06]
 [2.29598391e-05]
 [9.05631199e-07]
 [4.69764516e-06]
 [1.61590380e-06]
 [3.91212371e-07]]","[[1.29677901e-06]
 [4.94746342e-06]
 [2.09621060e-05]
 [1.70484331e-05]
 [2.22902214e-05]
 [5.61378593e-06]
 [2.29598391e-05]
 [9.05631199e-07]
 [4.69764516e-06]
 [1.61590380e-06]
 [3.91212371e-07]]","[[ 0.00341629]
 [ 0.00667287]
 [-0.01373532]
 [-0.01238692]
 [-0.01416376]
 [-0.00710803]
 [-0.01437493]
 [-0.00285494]
 [-0.00650222]
 [-0.00381355]
 [-0.00187641]]",1
"[[1.75285758e-06]
 [6.33989253e-06]
 [2.55905935e-05]
 [2.15117877e-05]
 [2.83235399e-05]
 [7.05964386e-06]
 [2.93641435e-05]
 [1.12760777e-06]
 [5.84715450e-06]
 [2.12103991e-06]
 [4.57719368e-07]]","[[1.75285758e-06]
 [6.33989253e-06]
 [2.55905935e-05]
 [2.15117877e-05]
 [2.83235399e-05]
 [7.05964386e-06]
 [2.93641435e-05]
 [1.12760777e-06]
 [5.84715450e-06]
 [2.12103991e-06]
 [4.57719368e-07]]","[[ 0.00397187]
 [ 0.00755374]
 [-0.01517614]
 [-0.01391424]
 [-0.01596596]
 [-0.007971  ]
 [-0.01625661]
 [-0.00318567]
 [-0.00725427]
 [-0.00436914]
 [-0.00202965]]",1
"[[1.27133595e-06]
 [4.89691554e-06]
 [2.06854319e-05]
 [1.69112604e-05]
 [2.19581594e-05]
 [5.56408802e-06]
 [2.24903067e-05]
 [8.85077241e-07]
 [4.60041237e-06]
 [1.54644398e-06]
 [3.95325204e-07]]","[[1.27133595e-06]
 [4.89691554e-06]
 [2.06854319e-05]
 [1.69112604e-05]
 [2.19581594e-05]
 [5.56408802e-06]
 [2.24903067e-05]
 [8.85077241e-07]
 [4.60041237e-06]
 [1.54644398e-06]
 [3.95325204e-07]]","[[ 0.00338261]
 [ 0.00663869]
 [-0.01364437]
 [-0.01233699]
 [-0.01405786]
 [-0.0070765 ]
 [-0.01422718]
 [-0.00282236]
 [-0.00643457]
 [-0.00373068]
 [-0.00188625]]",1
"[[1.83241919e-06]
 [6.60931841e-06]
 [2.63339217e-05]
 [2.23995269e-05]
 [2.93529039e-05]
 [7.34002739e-06]
 [3.03204527e-05]
 [1.15553563e-06]
 [6.00079592e-06]
 [2.15755374e-06]
 [4.77091454e-07]]","[[1.83241919e-06]
 [6.60931841e-06]
 [2.63339217e-05]
 [2.23995269e-05]
 [2.93529039e-05]
 [7.34002739e-06]
 [3.03204527e-05]
 [1.15553563e-06]
 [6.00079592e-06]
 [2.15755374e-06]
 [4.77091454e-07]]","[[ 0.00406101]
 [ 0.00771258]
 [-0.01539498]
 [-0.01419844]
 [-0.0162535 ]
 [-0.00812775]
 [-0.0165192 ]
 [-0.00322488]
 [-0.00734896]
 [-0.00440658]
 [-0.00207215]]",1
"[[1.32110902e-06]
 [5.08385680e-06]
 [2.12401236e-05]
 [1.75444100e-05]
 [2.26658386e-05]
 [5.76469693e-06]
 [2.31218490e-05]
 [9.03570662e-07]
 [4.70605760e-06]
 [1.56334925e-06]
 [4.11683863e-07]]","[[1.32110902e-06]
 [5.08385680e-06]
 [2.12401236e-05]
 [1.75444100e-05]
 [2.26658386e-05]
 [5.76469693e-06]
 [2.31218490e-05]
 [9.03570662e-07]
 [4.70605760e-06]
 [1.56334925e-06]
 [4.11683863e-07]]","[[ 0.00344819]
 [ 0.00676422]
 [-0.0138261 ]
 [-0.01256581]
 [-0.0142826 ]
 [-0.00720293]
 [-0.01442556]
 [-0.00285169]
 [-0.00650803]
 [-0.00375102]
 [-0.00192488]]",1
"[1.57351334e-08 3.39683599e-09 1.57106329e-07 ... 1.35844230e-07
 1.98628228e-07 5.46737866e-05]","[1.57351334e-08 3.39683599e-09 1.57106329e-07 ... 1.35844230e-07
 1.98628228e-07 5.46737866e-05]","[ 0.00037632 -0.00017485 -0.0011891  ... -0.00110571 -0.00133703
  0.02218252]",1
"[[1.89926962e-06]
 [6.84158559e-06]
 [2.69457647e-05]
 [2.31692296e-05]
 [3.02113989e-05]
 [7.58136916e-06]
 [3.10855384e-05]
 [1.17625396e-06]
 [6.11911276e-06]
 [2.17657418e-06]
 [4.95028120e-07]]","[[1.89926962e-06]
 [6.84158559e-06]
 [2.69457647e-05]
 [2.31692296e-05]
 [3.02113989e-05]
 [7.58136916e-06]
 [3.10855384e-05]
 [1.17625396e-06]
 [6.11911276e-06]
 [2.17657418e-06]
 [4.95028120e-07]]","[[ 0.00413442]
 [ 0.00784693]
 [-0.01557279]
 [-0.01444033]
 [-0.01648947]
 [-0.00826029]
 [-0.01672632]
 [-0.00325366]
 [-0.00742105]
 [-0.00442597]
 [-0.00211075]]",1
"[[2.45115917e-06]
 [8.39547515e-06]
 [3.14771020e-05]
 [2.79966173e-05]
 [3.67628152e-05]
 [9.12691160e-06]
 [3.80696865e-05]
 [1.40187429e-06]
 [7.29307707e-06]
 [2.73499593e-06]
 [5.53071214e-07]]","[[2.45115917e-06]
 [8.39547515e-06]
 [3.14771020e-05]
 [2.79966173e-05]
 [3.67628152e-05]
 [9.12691160e-06]
 [3.80696865e-05]
 [1.40187429e-06]
 [7.29307707e-06]
 [2.73499593e-06]
 [5.53071214e-07]]","[[ 0.00469685]
 [ 0.00869248]
 [-0.01683134]
 [-0.01587355]
 [-0.0181897 ]
 [-0.00906323]
 [-0.01851019]
 [-0.00355202]
 [-0.00810171]
 [-0.00496135]
 [-0.00223106]]",1
"[[1.76607613e-06]
 [6.49157599e-06]
 [2.57396941e-05]
 [2.21038084e-05]
 [2.85685268e-05]
 [7.23097942e-06]
 [2.91762525e-05]
 [1.10646079e-06]
 [5.77194932e-06]
 [1.98078050e-06]
 [4.89307258e-07]]","[[1.76607613e-06]
 [6.49157599e-06]
 [2.57396941e-05]
 [2.21038084e-05]
 [2.85685268e-05]
 [7.23097942e-06]
 [2.91762525e-05]
 [1.10646079e-06]
 [5.77194932e-06]
 [1.98078050e-06]
 [4.89307258e-07]]","[[ 0.00398681]
 [ 0.00764357]
 [-0.01522029]
 [-0.01410441]
 [-0.01603486]
 [-0.00806714]
 [-0.01620451]
 [-0.00315565]
 [-0.00720746]
 [-0.00422221]
 [-0.00209852]]",1
"[[1.33694427e-06]
 [5.19258928e-06]
 [2.14218337e-05]
 [1.79472277e-05]
 [2.29137753e-05]
 [5.88423818e-06]
 [2.31448268e-05]
 [8.95266784e-07]
 [4.68842627e-06]
 [1.50094106e-06]
 [4.30681387e-07]]","[[1.33694427e-06]
 [5.19258928e-06]
 [2.14218337e-05]
 [1.79472277e-05]
 [2.29137753e-05]
 [5.88423818e-06]
 [2.31448268e-05]
 [8.95266784e-07]
 [4.68842627e-06]
 [1.50094106e-06]
 [4.30681387e-07]]","[[ 0.00346879]
 [ 0.00683618]
 [-0.01388512]
 [-0.01270925]
 [-0.0143605 ]
 [-0.00727723]
 [-0.01443272]
 [-0.00283856]
 [-0.00649583]
 [-0.00367539]
 [-0.00196879]]",1
"[[1.06302631e-06]
 [4.30698473e-06]
 [1.82688025e-05]
 [1.50470025e-05]
 [1.90270547e-05]
 [4.94018678e-06]
 [1.90504837e-05]
 [7.46555444e-07]
 [3.92585537e-06]
 [1.19023350e-06]
 [3.82651777e-07]]","[[1.06302631e-06]
 [4.30698473e-06]
 [1.82688025e-05]
 [1.50470025e-05]
 [1.90270547e-05]
 [4.94018678e-06]
 [1.90504837e-05]
 [7.46555444e-07]
 [3.92585537e-06]
 [1.19023350e-06]
 [3.82651777e-07]]","[[ 0.0030931 ]
 [ 0.00622598]
 [-0.01282261]
 [-0.01163714]
 [-0.013086  ]
 [-0.00666796]
 [-0.01309406]
 [-0.0025921 ]
 [-0.00594413]
 [-0.00327293]
 [-0.00185577]]",1
"[[1.44095219e-06]
 [5.55140812e-06]
 [2.25367277e-05]
 [1.91364864e-05]
 [2.43434907e-05]
 [6.26315449e-06]
 [2.45168310e-05]
 [9.38218781e-07]
 [4.92557303e-06]
 [1.56976847e-06]
 [4.56279597e-07]]","[[1.44095219e-06]
 [5.55140812e-06]
 [2.25367277e-05]
 [1.91364864e-05]
 [2.43434907e-05]
 [6.26315449e-06]
 [2.45168310e-05]
 [9.38218781e-07]
 [4.92557303e-06]
 [1.56976847e-06]
 [4.56279597e-07]]","[[ 0.00360119]
 [ 0.00706843]
 [-0.01424186]
 [-0.01312358]
 [-0.01480174]
 [-0.00750789]
 [-0.01485434]
 [-0.00290585]
 [-0.00665809]
 [-0.00375871]
 [-0.00202645]]",1
"[[1.21159333e-06]
 [4.82738116e-06]
 [2.00266069e-05]
 [1.67838164e-05]
 [2.11764370e-05]
 [5.49874458e-06]
 [2.11676902e-05]
 [8.17860861e-07]
 [4.31021828e-06]
 [1.31269393e-06]
 [4.19591408e-07]]","[[1.21159333e-06]
 [4.82738116e-06]
 [2.00266069e-05]
 [1.67838164e-05]
 [2.11764370e-05]
 [5.49874458e-06]
 [2.11676902e-05]
 [8.17860861e-07]
 [4.31021828e-06]
 [1.31269393e-06]
 [4.19591408e-07]]","[[ 0.00330217]
 [ 0.00659139]
 [-0.01342533]
 [-0.01229042]
 [-0.01380536]
 [-0.00703482]
 [-0.01380251]
 [-0.00271307]
 [-0.00622832]
 [-0.00343719]
 [-0.00194328]]",1
"[[1.69360222e-06]
 [6.36322104e-06]
 [2.50716566e-05]
 [2.17757861e-05]
 [2.76840886e-05]
 [7.10766586e-06]
 [2.78768663e-05]
 [1.04773813e-06]
 [5.50947079e-06]
 [1.78284972e-06]
 [5.03542072e-07]]","[[1.69360222e-06]
 [6.36322104e-06]
 [2.50716566e-05]
 [2.17757861e-05]
 [2.76840886e-05]
 [7.10766586e-06]
 [2.78768663e-05]
 [1.04773813e-06]
 [5.50947079e-06]
 [1.78284972e-06]
 [5.03542072e-07]]","[[ 0.00390415]
 [ 0.00756763]
 [-0.01502148]
 [-0.01399936]
 [-0.0157847 ]
 [-0.00799806]
 [-0.01583956]
 [-0.00307077]
 [-0.00704168]
 [-0.0040057 ]
 [-0.00212882]]",1
"[[1.13593239e-06]
 [4.60032336e-06]
 [1.91476986e-05]
 [1.60518656e-05]
 [2.00990022e-05]
 [5.25609305e-06]
 [1.99528955e-05]
 [7.69627160e-07]
 [4.07585775e-06]
 [1.20083335e-06]
 [4.11642405e-07]]","[[1.13593239e-06]
 [4.60032336e-06]
 [1.91476986e-05]
 [1.60518656e-05]
 [2.00990022e-05]
 [5.25609305e-06]
 [1.99528955e-05]
 [7.69627160e-07]
 [4.07585775e-06]
 [1.20083335e-06]
 [4.11642405e-07]]","[[ 0.0031974 ]
 [ 0.00643451]
 [-0.01312743]
 [-0.01201943]
 [-0.01344957]
 [-0.00687785]
 [-0.0134006 ]
 [-0.00263185]
 [-0.00605663]
 [-0.00328748]
 [-0.00192478]]",1
