epoch,loss_discriminator,loss_generator,params_generator,rel_entropy
0,0.5717,0.6789,"[2.61023309 4.53591178 0.01065998 1.88963824 0.91211696 0.57018715
 1.18030025 2.18120901 2.48297616 3.39547845 2.62388401 4.2953934
 1.29460042 5.52713736 0.16210759]",22.7821
1,0.5184,0.6633,"[2.60023428 4.54590814 0.02064933 1.87964247 0.9021207  0.56018837
 1.19029893 2.19120656 2.47297837 3.40547717 2.61388529 4.28539947
 1.30459851 5.53493861 0.15211366]",22.745
2,0.5119,0.6487,"[2.5902351  4.5559058  0.0306421  1.86964515 0.89212305 0.5501892
 1.20029803 2.2012049  2.46297984 3.41547627 2.60388615 4.27540341
 1.31459725 5.52499352 0.14211869]",22.6898
3,0.5426,0.6363,"[2.5802358  4.56590399 0.04063623 1.85964725 0.88212483 0.54018989
 1.21029726 2.21120354 2.45298104 3.42547551 2.59388686 4.2654064
 1.32459624 5.51500541 0.13212404]",22.6201
4,0.5373,0.6271,"[2.57023645 4.57590237 0.05063108 1.84964907 0.87212639 0.53019055
 1.22029653 2.22120227 2.44298213 3.43547477 2.58388752 4.25540909
 1.33459533 5.50501356 0.12213135]",22.5367
5,0.5709,0.6171,"[2.56023709 4.58590083 0.0606264  1.83965072 0.86212783 0.52019119
 1.23029582 2.23120102 2.43298316 3.44547405 2.57388814 4.24541166
 1.34459446 5.49502029 0.11214341]",22.4403
6,0.5852,0.6083,"[2.55023771 4.59589933 0.07062205 1.82965226 0.8521292  0.51019182
 1.24029511 2.24119978 2.42298417 3.45547332 2.56388875 4.23541421
 1.35459363 5.48502626 0.10218066]",22.3316
7,0.5903,0.6012,"[2.54023834 4.60589785 0.08061792 1.81965372 0.84213052 0.50019245
 1.25029441 2.25119851 2.41298515 3.46547259 2.55388936 4.22541675
 1.36459282 5.47503181 0.10821639]",22.2353
8,0.6187,0.5949,"[2.53023898 4.61589639 0.09061396 1.8096551  0.83213178 0.49019309
 1.26029368 2.26119722 2.40298611 3.47547184 2.54388996 4.21541923
 1.37459202 5.46503719 0.11820498]",22.1335
9,0.622,0.5884,"[2.52023963 4.62589491 0.10061009 1.79965644 0.82213303 0.48019377
 1.27029293 2.27119587 2.39298707 3.48547104 2.53389057 4.20542173
 1.38459122 5.45504256 0.12819816]",22.0212
10,0.6334,0.5848,"[2.51024032 4.63589341 0.11060627 1.78965777 0.81213428 0.47019447
 1.28029214 2.28119446 2.38298806 3.49547021 2.5238912  4.19542425
 1.39459041 5.44504792 0.138193  ]",21.9016
11,0.6492,0.5846,"[2.50024104 4.64589182 0.12060244 1.77965913 0.80213557 0.46019522
 1.2902913  2.29119295 2.37298908 3.50546931 2.51389187 4.18542687
 1.40458957 5.43505343 0.1481886 ]",21.7776
12,0.647,0.5735,"[2.49024181 4.65589015 0.13059857 1.76966053 0.79213693 0.45019602
 1.3002904  2.30119131 2.36299017 3.51546835 2.50389257 4.17542964
 1.41458867 5.42505914 0.1581846 ]",21.6515
13,0.6691,0.5853,"[2.48024267 4.6658883  0.14059457 1.75966204 0.7821384  0.4401969
 1.31028941 2.3111895  2.35299135 3.52546727 2.49389334 4.16543267
 1.4245877  5.41506524 0.16818074]",21.5258
14,0.6736,0.589,"[2.47024363 4.67588624 0.15059038 1.74966369 0.77214003 0.4301979
 1.32028829 2.32118744 2.34299268 3.53546605 2.4838942  4.15543605
 1.43458662 5.40507186 0.17817685]",21.4026
15,0.6677,0.5889,"[2.46024471 4.68588391 0.16058593 1.73966552 0.76214186 0.42019903
 1.33028703 2.33118508 2.33299418 3.54546467 2.47389518 4.14543986
 1.4445854  5.39507912 0.18817283]",21.2839
16,0.6816,0.6063,"[2.45024594 4.69588125 0.1705812  1.72966757 0.75214392 0.41020031
 1.34028559 2.34118236 2.32299589 3.55546308 2.46389628 4.13544419
 1.45458403 5.38508707 0.19816862]",21.1718
17,0.6847,0.6028,"[2.44024745 4.70587798 0.18057586 1.71967004 0.74214645 0.40020188
 1.35028383 2.351179   2.31299798 3.56546113 2.45389762 4.1254495
 1.46458235 5.37509644 0.20816382]",21.068
18,0.6901,0.63,"[2.43024928 4.71587398 0.19056984 1.70967299 0.73214951 0.39020379
 1.3602817  2.36117485 2.30300053 3.57545876 2.44389925 4.115456
 1.47458032 5.36510739 0.21815835]",20.9741
19,0.6929,0.6536,"[2.42025157 4.72586893 0.20056286 1.69967665 0.72215336 0.38020617
 1.37027904 2.37116957 2.29300375 3.58545577 2.43390129 4.10546422
 1.48457778 5.35512053 0.2281519 ]",20.8914
20,0.6906,0.6405,"[2.41025551 4.73586007 0.21055193 1.68968292 0.71216007 0.37021028
 1.38027445 2.38116024 2.28300938 3.59545061 2.4239048  4.09547871
 1.49457337 5.3451423  0.23814134]",20.8212
21,0.6932,0.7151,"[2.40425282 4.74186634 0.21655751 1.68367871 0.70615537 0.36420748
 1.38627755 2.38716691 2.27700541 3.60145412 2.41790239 4.08946845
 1.50057643 5.33912948 0.24414775]",20.7853
22,0.6925,0.6762,"[2.3962684  4.7498304  0.22451978 1.67570323 0.69818233 0.35622369
 1.3942595  2.39512873 2.26902812 3.60943365 2.40991629 4.08152747
 1.50855889 5.33120927 0.25210901]",20.7457
23,0.6928,0.699,"[2.39026552 4.75583727 0.23052532 1.66969874 0.6921772  0.35022069
 1.40026282 2.40113608 2.26302378 3.61543742 2.40391371 4.07551621
 1.51456219 5.32519642 0.25811555]",20.7215
24,0.6933,0.7126,"[2.38619168 4.75999124 0.23467054 1.66558911 0.68805616 0.34614424
 1.40434687 2.40529841 2.25891891 3.61953178 2.39984703 4.07129296
 1.51864492 5.3209404  0.26226922]",20.7067
25,0.6933,0.7023,"[2.38816171 4.75806172 0.23273318 1.66754255 0.69000346 0.34811312
 1.4023814  2.40337386 2.26087418 3.61757113 2.40182019 4.07317837
 1.51667901 5.32280561 0.26033742]",20.7121
26,0.6929,0.7103,"[2.38815675 4.75807368 0.23274337 1.66753477 0.6899946  0.34810796
 1.40238712 2.40338669 2.26086671 3.61757766 2.40181575 4.07315842
 1.51668469 5.32278211 0.26034894]",20.7119
